Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,67019,1887,01,216.2,Y
IDCJAC0001,67019,1887,02,148.2,Y
IDCJAC0001,67019,1887,03,69.8,Y
IDCJAC0001,67019,1887,04,171.4,Y
IDCJAC0001,67019,1887,05,95.9,Y
IDCJAC0001,67019,1887,06,103.4,Y
IDCJAC0001,67019,1887,07,41.0,Y
IDCJAC0001,67019,1887,08,133.2,Y
IDCJAC0001,67019,1887,09,21.5,Y
IDCJAC0001,67019,1887,10,28.3,Y
IDCJAC0001,67019,1887,11,111.6,Y
IDCJAC0001,67019,1887,12,173.3,Y
IDCJAC0001,67019,1888,01,14.5,Y
IDCJAC0001,67019,1888,02,61.8,Y
IDCJAC0001,67019,1888,03,33.0,Y
IDCJAC0001,67019,1888,04,3.4,Y
IDCJAC0001,67019,1888,05,18.5,Y
IDCJAC0001,67019,1888,06,8.9,Y
IDCJAC0001,67019,1888,07,26.7,Y
IDCJAC0001,67019,1888,08,4.7,Y
IDCJAC0001,67019,1888,09,40.7,Y
IDCJAC0001,67019,1888,10,36.9,Y
IDCJAC0001,67019,1888,11,18.9,Y
IDCJAC0001,67019,1888,12,226.6,Y
IDCJAC0001,67019,1889,01,42.5,Y
IDCJAC0001,67019,1889,02,55.5,Y
IDCJAC0001,67019,1889,03,15.3,Y
IDCJAC0001,67019,1889,04,58.2,Y
IDCJAC0001,67019,1889,05,556.0,Y
IDCJAC0001,67019,1889,06,17.2,Y
IDCJAC0001,67019,1889,07,98.5,Y
IDCJAC0001,67019,1889,08,52.5,Y
IDCJAC0001,67019,1889,09,58.7,Y
IDCJAC0001,67019,1889,10,24.6,Y
IDCJAC0001,67019,1889,11,71.5,Y
IDCJAC0001,67019,1889,12,34.2,Y
IDCJAC0001,67019,1890,01,84.3,Y
IDCJAC0001,67019,1890,02,251.2,Y
IDCJAC0001,67019,1890,03,380.7,Y
IDCJAC0001,67019,1890,04,41.8,Y
IDCJAC0001,67019,1890,05,77.8,Y
IDCJAC0001,67019,1890,06,181.0,Y
IDCJAC0001,67019,1890,07,152.2,Y
IDCJAC0001,67019,1890,08,9.4,Y
IDCJAC0001,67019,1890,09,56.7,Y
IDCJAC0001,67019,1890,10,48.7,Y
IDCJAC0001,67019,1890,11,66.6,Y
IDCJAC0001,67019,1890,12,28.0,Y
IDCJAC0001,67019,1891,01,177.6,Y
IDCJAC0001,67019,1891,02,43.9,Y
IDCJAC0001,67019,1891,03,85.8,Y
IDCJAC0001,67019,1891,04,62.9,Y
IDCJAC0001,67019,1891,05,20.9,Y
IDCJAC0001,67019,1891,06,373.1,Y
IDCJAC0001,67019,1891,07,34.9,Y
IDCJAC0001,67019,1891,08,73.9,Y
IDCJAC0001,67019,1891,09,104.5,Y
IDCJAC0001,67019,1891,10,50.5,Y
IDCJAC0001,67019,1891,11,90.9,Y
IDCJAC0001,67019,1891,12,59.0,Y
IDCJAC0001,67019,1892,01,119.9,Y
IDCJAC0001,67019,1892,02,115.1,Y
IDCJAC0001,67019,1892,03,331.4,Y
IDCJAC0001,67019,1892,04,89.3,Y
IDCJAC0001,67019,1892,05,22.9,Y
IDCJAC0001,67019,1892,06,22.2,Y
IDCJAC0001,67019,1892,07,53.1,Y
IDCJAC0001,67019,1892,08,79.7,Y
IDCJAC0001,67019,1892,09,186.3,Y
IDCJAC0001,67019,1892,10,92.0,Y
IDCJAC0001,67019,1892,11,60.1,Y
IDCJAC0001,67019,1892,12,119.7,Y
IDCJAC0001,67019,1893,01,134.1,Y
IDCJAC0001,67019,1893,02,73.1,Y
IDCJAC0001,67019,1893,03,198.9,Y
IDCJAC0001,67019,1893,04,124.5,Y
IDCJAC0001,67019,1893,05,25.2,Y
IDCJAC0001,67019,1893,06,110.1,Y
IDCJAC0001,67019,1893,07,73.9,Y
IDCJAC0001,67019,1893,08,22.2,Y
