Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,67019,1887,216.2,148.2,69.8,171.4,95.9,103.4,41.0,133.2,21.5,28.3,111.6,173.3,1313.8
IDCJAC0001,67019,1888,14.5,61.8,33.0,3.4,18.5,8.9,26.7,4.7,40.7,36.9,18.9,226.6,494.6
IDCJAC0001,67019,1889,42.5,55.5,15.3,58.2,556.0,17.2,98.5,52.5,58.7,24.6,71.5,34.2,1084.7
IDCJAC0001,67019,1890,84.3,251.2,380.7,41.8,77.8,181.0,152.2,9.4,56.7,48.7,66.6,28.0,1378.4
IDCJAC0001,67019,1891,177.6,43.9,85.8,62.9,20.9,373.1,34.9,73.9,104.5,50.5,90.9,59.0,1177.9
IDCJAC0001,67019,1892,119.9,115.1,331.4,89.3,22.9,22.2,53.1,79.7,186.3,92.0,60.1,119.7,1291.7
IDCJAC0001,67019,1893,134.1,73.1,198.9,124.5,25.2,110.1,73.9,22.2,15.9,59.8,100.3,50.6,988.6
IDCJAC0001,67019,1894,42.3,43.8,339.8,46.8,6.6,22.9,10.5,15.0,80.3,74.3,29.0,63.7,775.0
IDCJAC0001,67019,1895,224.4,73.1,22.6,44.8,21.6,5.1,6.3,17.5,111.5,16.3,44.9,46.4,634.5
IDCJAC0001,67019,1896,36.6,119.7,77.4,5.3,41.4,190.3,9.5,14.0,10.4,36.7,103.7,37.7,682.7
IDCJAC0001,67019,1897,43.4,7.9,34.0,95.8,71.0,167.0,113.9,43.8,22.2,39.7,12.0,107.6,758.3
IDCJAC0001,67019,1898,117.7,158.0,21.4,5.5,166.6,122.6,49.7,95.6,42.1,73.8,9.1,58.8,920.9
IDCJAC0001,67019,1899,50.3,3.9,20.7,120.2,41.7,89.4,83.5,259.4,40.1,44.4,77.8,18.5,849.9
IDCJAC0001,67019,1900,125.3,21.3,78.3,89.1,193.1,112.5,315.9,20.4,42.5,12.5,176.7,31.0,1218.6
IDCJAC0001,67019,1901,64.0,37.4,82.8,70.2,30.3,15.8,21.0,110.7,50.9,43.1,44.6,6.8,577.6
