"date","year","month","rain","sixmnthtot","index","indexBelowThreshold","count","count2","sums","sums2"
1887-06-01,1887,6,103.4,804.9,3.11811023622047,0,0,0,0,0
1887-07-01,1887,7,41,629.7,2.67716535433071,0,0,0,0,0
1887-08-01,1887,8,133.2,614.7,2.86614173228346,0,0,0,0,0
1887-09-01,1887,9,21.5,566.4,2.99212598425197,0,0,0,0,0
1887-10-01,1887,10,28.3,423.3,1.48031496062992,0,0,0,0,0
1887-11-01,1887,11,111.6,439,1.85826771653543,0,0,0,0,0
1887-12-01,1887,12,173.3,508.9,2.80314960629921,0,0,0,0,0
1888-01-01,1888,1,14.5,482.4,1.65079365079365,0,0,0,0,0
1888-02-01,1888,2,61.8,411,-0.0634920634920637,0,0,0,0,0
1888-03-01,1888,3,33,422.5,-0.761904761904762,0,0,0,0,0
1888-04-01,1888,4,3.4,397.6,-1.96825396825397,-1.96825396825397,1,1,-1.96825396825397,-1.96825396825397
1888-05-01,1888,5,18.5,304.5,-3.17460317460317,-3.17460317460317,2,2,-5.14285714285714,-5.14285714285714
1888-06-01,1888,6,8.9,140.1,-3.93700787401575,-3.93700787401575,3,3,-9.07986501687289,-9.07986501687289
1888-07-01,1888,7,26.7,152.3,-3.8740157480315,-3.8740157480315,4,4,-12.9538807649044,-12.9538807649044
1888-08-01,1888,8,4.7,95.2,-4,-4,5,5,-16.9538807649044,-16.9538807649044
1888-09-01,1888,9,40.7,102.9,-4,-4,6,6,-20.9538807649044,-20.9538807649044
1888-10-01,1888,10,36.9,136.4,-3.62204724409449,-3.62204724409449,7,7,-24.5759280089989,-24.5759280089989
1888-11-01,1888,11,18.9,136.8,-3.74803149606299,-3.74803149606299,8,8,-28.3239595050619,-28.3239595050619
1888-12-01,1888,12,226.6,354.5,-0.125984251968504,0,0,9,0,-28.4499437570304
1889-01-01,1889,1,42.5,370.3,0.126984126984127,0,0,0,0,0
1889-02-01,1889,2,55.5,421.1,0.0634920634920633,0,0,0,0,0
1889-03-01,1889,3,15.3,395.7,-1.77777777777778,-1.77777777777778,1,1,-1.77777777777778,-1.77777777777778
1889-04-01,1889,4,58.2,417,-1.33333333333333,-1.33333333333333,2,2,-3.11111111111111,-3.11111111111111
1889-05-01,1889,5,556,954.1,3.74603174603175,0,0,0,0,0
1889-06-01,1889,6,17.2,744.7,2.99212598425197,0,0,0,0,0
1889-07-01,1889,7,98.5,800.7,3.49606299212598,0,0,0,0,0
1889-08-01,1889,8,52.5,797.7,3.55905511811024,0,0,0,0,0
1889-09-01,1889,9,58.7,841.1,3.74803149606299,0,0,0,0,0
1889-10-01,1889,10,24.6,807.5,3.8740157480315,0,0,0,0,0
1889-11-01,1889,11,71.5,323,-0.535433070866142,0,0,0,0,0
1889-12-01,1889,12,34.2,340,-0.283464566929134,0,0,0,0,0
1890-01-01,1890,1,84.3,325.8,-0.761904761904762,0,0,0,0,0
