MONTH;YEAR;presion;tmed;rh;tmax;tmin;viento;insol;precip;eto
1;1971;1020.3;10.4;63;18.3;2.5;2.2;7.1;9.2;65.1
2;1971;1015.8;11.25;61;17.9;4.6;2.7;6.8;54.1;75.6
3;1971;1015.7;17.15;44;24.7;9.6;2.9;7.7;15;145.7
4;1971;1010.7;20.1;53;27.3;12.9;2.6;8.3;63.9;153
5;1971;1006.5;29;31;37.2;20.8;2.2;9.1;0.001;229.4
6;1971;1001.6;30.8;24;39.9;21.7;3.8;12;0;327
7;1971;998.8;33.8;24;43.1;24.5;3.6;12.2;0;350.3
8;1971;1000.6;32.6;26;42.7;22.5;2.7;12.2;0;291.4
9;1971;1006.8;30.05;25;41.5;18.6;2.3;11;0;234
10;1971;1013.9;22.65;37;32.5;12.8;2.6;9.7;0.001;173.6
11;1971;1018.4;16.35;62;23.2;9.5;1.8;6.2;24.9;72
12;1971;1019.6;9.1;72;15.1;3.1;2.2;6.6;19.9;46.5
1;1972;1020.5;7.5;75;13.1;1.9;2.1;6.1;38.3;43.4
2;1972;1019.5;8.55;63;15.5;1.6;2.2;7.7;15.7;64.4
3;1972;1013.4;15.35;62;21.5;9.2;3;7.2;79.5;111.6
4;1972;1010.9;23.4;51;30.5;16.3;2.8;8.9;20.1;177
5;1972;1009;25.75;40;33.1;18.4;2.5;11;6.6;220.1
6;1972;1004.1;32.3;27;40.6;24;2.8;12.2;0.8;288
7;1972;1000.4;33.2;26;42.2;24.2;3.5;13.2;0;341
8;1972;1001.7;34.7;24;44.3;25.1;2.9;11.8;0;310
9;1972;1008;29.85;31;40.1;19.6;2.2;11;0;216
10;1972;1013.6;25.7;38;35.4;16;1.8;8.6;0.001;151.9
11;1972;1017.9;15.9;54;23.8;8;2.2;8.3;4.5;87
12;1972;1022.3;8.1;74;14.2;2;1.7;6.5;25.7;40.3
1;1973;1021;8.4;59;15.8;1;2.5;7.6;8.5;65.1
2;1973;1017.4;13.6;56;21;6.2;2.2;7.8;3.5;81.2
3;1973;1015.9;15.95;39;24.4;7.5;2.8;9.5;0.001;151.9
4;1973;1011.3;20.9;36;29;12.8;1.6;10.2;4.8;159
5;1973;1007.7;27.4;30;36.8;18;2.7;11.3;16;257.3
6;1973;1003.4;30.6;24;39.6;21.6;3.6;13;0;321
7;1973;998.8;33.5;22;42.7;24.3;3.6;12.7;0;353.4
8;1973;1000;34.65;21;44.8;24.5;3.2;12.2;0;334.8
9;1973;1006.4;30.2;25;40.3;20.1;2.2;11;0;222
10;1973;1011.8;25.85;33;35.9;15.8;1.4;9.1;0.001;139.5
11;1973;1019.3;14.05;48;22;6.1;1.8;7.9;10.6;81
12;1973;1021.3;10.1;72;16.4;3.8;1.4;6.7;53.7;43.4
1;1974;1018;8.35;80;13.2;3.5;1.6;5;23.1;37.2
2;1974;1018.5;9.45;76;15;3.9;2.2;6.9;68.6;53.2
3;1974;1015.3;15.8;74;21.1;10.5;2.7;6.3;148.7;89.9
4;1974;1010.7;19.6;54;26.2;13;1.9;9;3;138
5;1974;1007.8;27.25;30;36.3;18.2;2.8;11.7;0;260.4
6;1974;1002.6;31.3;23;41.5;21.1;3.2;13.3;0;321
7;1974;998.1;33.1;22;43.3;22.9;3.6;13.2;0;359.6
8;1974;1000.7;32;27;41.9;22.1;3.2;12.6;0;313.1
9;1974;1006;28.75;29;39;18.5;2.5;10.4;0;225
10;1974;1012.3;24.35;33;35.2;13.5;2.2;9.3;0.001;173.6
11;1974;1018.2;17;53;25.2;8.8;2.4;8;6.6;96
12;1974;1019.9;9.5;78;15.3;3.7;1.8;5.4;34.1;40.3
1;1975;1020.8;7.9;84;14;1.8;1.9;6.4;79.8;37.2
2;1975;1017.7;10.5;73;16.7;4.3;2.3;6.9;42.3;58.8
3;1975;1015.6;15.05;53;23.3;6.8;2.8;10;7.7;133.3
4;1975;1011.7;22.7;45;31.1;14.3;2.3;9.1;17.6;174
5;1975;1007.5;27.05;37;35.5;18.6;2.6;10;10.2;235.6
6;1975;1002.4;31.8;21;41.1;22.5;3.8;13.1;0;345
7;1975;999.2;33.9;21;44.2;23.6;3.6;13.1;0;365.8
8;1975;999.5;32.55;27;42.4;22.7;3.3;12.3;0;319.3
9;1975;1005.2;30.6;24;40.5;20.7;2.2;10.6;0.001;222
10;1975;1012.7;22.2;32;32;12.4;2.2;9.9;0;161.2
11;1975;1018.3;15.9;50;24.4;7.4;1.6;7.9;2.4;81
12;1975;1020;9.25;75;14.7;3.8;2.2;5;32.7;43.4
1;1976;1018.7;8.7;76;15.2;2.2;1.9;6.1;19.9;46.5
2;1976;1016.7;10.05;59;17;3.1;2.7;7.4;13.8;75.6
3;1976;1014.6;13.85;64;20.6;7.1;2.5;7.1;26.9;99.2
4;1976;1011.7;21.2;52;28.1;14.3;2.5;8;29.2;153
5;1976;1008.5;26.5;35;34.7;18.3;2.5;10.2;2.6;229.4
6;1976;1003.6;31.4;20;41.3;21.5;3.5;13.3;0;336
7;1976;999.7;32.75;23;41.8;23.7;4.6;13.2;0;390.6
8;1976;1000.8;32.3;27;41.9;22.7;4.3;12.4;0;356.5
9;1976;1007.6;28.55;31;38.4;18.7;2.8;10.8;0;234
10;1976;1011.7;23.85;41;33;14.7;1.9;9;0.4;145.7
11;1976;1017;16.45;47;25.8;7.1;1.9;8.4;0.6;93
12;1976;1018.1;13.2;68;19.6;6.8;2.2;5.5;18.1;58.9
1;1977;1020.2;6.85;76.5;12.4;1.3;1.9;5.3;23.3;40.3
2;1977;1019;14.6;59;22.3;6.9;2.8;8.2;9.8;92.4
3;1977;1016.2;17.4;56.5;24.7;10.1;3.3;8.2;22.5;136.4
4;1977;1009.4;21.4;48;29;13.8;3.1;9;12.7;177
5;1977;1007.8;27.9;32.5;36.2;19.6;2.9;10.2;0.001;254.2
6;1977;1002.4;31.95;21;41.3;22.6;3.7;12.6;0;339
7;1977;997.6;34.05;22;43.6;24.5;4.2;12.6;0;387.5
8;1977;1001;33.6;25;44.1;23.1;2.9;12.2;0;310
9;1977;1007.5;30.3;28.5;40.5;20.1;2.2;11;0;222
10;1977;1014.4;21.1;42;29.8;12.4;1.9;9;14.4;133.3
11;1977;1018.8;15.45;52.5;23.6;7.3;1.5;8.5;12.8;75
12;1977;1020;11.25;71.5;16.7;5.8;1.8;5.8;44.2;46.5
1;1978;1020.6;11.2;77;17.5;4.9;2.4;7.2;32.6;52.7
2;1978;1018.2;13.15;59;20.4;5.9;2.2;8.8;9.2;81.2
