"date","year","month","rain","sixmnthtot","index","indexBelowThreshold","count","count2","sums","sums2"
1971-06-01,1971,6,0,142.201,3.27272727272727,0,0,0,0,0
1971-07-01,1971,7,0,133.001,3.63636363636364,0,0,0,0,0
1971-08-01,1971,8,0,78.901,3.45454545454545,0,0,0,0,0
1971-09-01,1971,9,0,63.901,4,0,0,0,0,0
1971-10-01,1971,10,0.001,0.002,-3.63636363636364,-3.63636363636364,1,1,-3.63636363636364,-3.63636363636364
1971-11-01,1971,11,24.9,24.901,1.63636363636364,0,0,0,0,0
1971-12-01,1971,12,19.9,44.801,1.63636363636364,0,0,0,0,0
1972-01-01,1972,1,38.3,83.101,1.76744186046512,0,0,0,0,0
1972-02-01,1972,2,15.7,98.801,1.95348837209302,0,0,0,0,0
1972-03-01,1972,3,79.5,178.301,3.44186046511628,0,0,0,0,0
1972-04-01,1972,4,20.1,198.4,3.25581395348837,0,0,0,0,0
1972-05-01,1972,5,6.6,180.1,3.44186046511628,0,0,0,0,0
1972-06-01,1972,6,0.8,161,3.63636363636364,0,0,0,0,0
1972-07-01,1972,7,0,122.7,3.45454545454545,0,0,0,0,0
1972-08-01,1972,8,0,107,3.81818181818182,0,0,0,0,0
1972-09-01,1972,9,0,27.5,2,0,0,0,0,0
1972-10-01,1972,10,0.001,7.401,0.727272727272728,0,0,0,0,0
1972-11-01,1972,11,4.5,5.301,-2,-2,1,1,-2,-2
1972-12-01,1972,12,25.7,30.201,-0.363636363636364,0,0,0,0,0
1973-01-01,1973,1,8.5,38.701,-1.95348837209302,-1.95348837209302,1,1,-1.95348837209302,-1.95348837209302
1973-02-01,1973,2,3.5,42.201,-2.69767441860465,-2.69767441860465,2,2,-4.65116279069767,-4.65116279069767
1973-03-01,1973,3,0.001,42.202,-3.06976744186047,-3.06976744186047,3,3,-7.72093023255814,-7.72093023255814
1973-04-01,1973,4,4.8,47.001,-3.06976744186047,-3.06976744186047,4,4,-10.7906976744186,-10.7906976744186
1973-05-01,1973,5,16,58.501,-2.32558139534884,-2.32558139534884,5,5,-13.1162790697674,-13.1162790697674
1973-06-01,1973,6,0,32.801,-2.90909090909091,-2.90909090909091,6,6,-16.0253699788584,-16.0253699788584
1973-07-01,1973,7,0,24.301,-2.18181818181818,-2.18181818181818,7,7,-18.2071881606765,-18.2071881606765
1973-08-01,1973,8,0,20.801,-1.81818181818182,-1.81818181818182,8,8,-20.0253699788584,-20.0253699788584
1973-09-01,1973,9,0,20.8,1.09090909090909,0,0,0,0,0
1973-10-01,1973,10,0.001,16.001,3.09090909090909,0,0,0,0,0
1973-11-01,1973,11,10.6,10.601,0,0,0,0,0,0
1973-12-01,1973,12,53.7,64.301,2.90909090909091,0,0,0,0,0
1974-01-01,1974,1,23.1,87.401,2.51162790697674,0,0,0,0,0
1974-02-01,1974,2,68.6,156.001,3.44186046511628,0,0,0,0,0
1974-03-01,1974,3,148.7,304.701,4,0,0,0,0,0
1974-04-01,1974,4,3,307.7,4,0,0,0,0,0
1974-05-01,1974,5,0,297.1,4,0,0,0,0,0
1974-06-01,1974,6,0,243.4,4,0,0,0,0,0
1974-07-01,1974,7,0,220.3,4,0,0,0,0,0
1974-08-01,1974,8,0,151.7,4,0,0,0,0,0
1974-09-01,1974,9,0,3,-2.72727272727273,-2.72727272727273,1,1,-2.72727272727273,-2.72727272727273
1974-10-01,1974,10,0.001,0.001,-4,-4,2,2,-6.72727272727273,-6.72727272727273
1974-11-01,1974,11,6.6,6.601,-1.63636363636364,-1.63636363636364,3,3,-8.36363636363636,-8.36363636363636
1974-12-01,1974,12,34.1,40.701,1.27272727272727,0,0,0,0,0
1975-01-01,1975,1,79.8,120.501,3.25581395348837,0,0,0,0,0
1975-02-01,1975,2,42.3,162.801,3.62790697674419,0,0,0,0,0
1975-03-01,1975,3,7.7,170.501,3.25581395348837,0,0,0,0,0
1975-04-01,1975,4,17.6,188.1,3.06976744186047,0,0,0,0,0
1975-05-01,1975,5,10.2,191.7,3.62790697674419,0,0,0,0,0
1975-06-01,1975,6,0,157.6,3.45454545454545,0,0,0,0,0
1975-07-01,1975,7,0,77.8,2.54545454545455,0,0,0,0,0
1975-08-01,1975,8,0,35.5,0.181818181818182,0,0,0,0,0
1975-09-01,1975,9,0.001,27.801,2.18181818181818,0,0,0,0,0
1975-10-01,1975,10,0,10.201,2,0,0,0,0,0
1975-11-01,1975,11,2.4,2.401,-3.09090909090909,-3.09090909090909,1,1,-3.09090909090909,-3.09090909090909
1975-12-01,1975,12,32.7,35.101,0.545454545454546,0,0,0,0,0
1976-01-01,1976,1,19.9,55.001,0.27906976744186,0,0,0,0,0
1976-02-01,1976,2,13.8,68.801,-0.465116279069767,0,0,0,0,0
1976-03-01,1976,3,26.9,95.7,0.465116279069767,0,0,0,0,0
1976-04-01,1976,4,29.2,124.9,1.2093023255814,0,0,0,0,0
1976-05-01,1976,5,2.6,125.1,2.13953488372093,0,0,0,0,0
1976-06-01,1976,6,0,92.4,1.81818181818182,0,0,0,0,0
1976-07-01,1976,7,0,72.5,2.18181818181818,0,0,0,0,0
1976-08-01,1976,8,0,58.7,2.54545454545455,0,0,0,0,0
1976-09-01,1976,9,0,31.8,2.72727272727273,0,0,0,0,0
1976-10-01,1976,10,0.4,3,-1.45454545454545,-1.45454545454545,1,1,-1.45454545454545,-1.45454545454545
1976-11-01,1976,11,0.6,1,-3.63636363636364,-3.63636363636364,2,2,-5.09090909090909,-5.09090909090909
1976-12-01,1976,12,18.1,19.1,-2.54545454545455,-2.54545454545455,3,3,-7.63636363636364,-7.63636363636364
1977-01-01,1977,1,23.3,42.4,-1.2093023255814,-1.2093023255814,4,4,-8.84566596194503,-8.84566596194503
1977-02-01,1977,2,9.8,52.2,-1.76744186046512,-1.76744186046512,5,5,-10.6131078224101,-10.6131078224101
1977-03-01,1977,3,22.5,74.7,-1.02325581395349,-1.02325581395349,6,6,-11.6363636363636,-11.6363636363636
1977-04-01,1977,4,12.7,87,-1.2093023255814,-1.2093023255814,7,7,-12.845665961945,-12.845665961945
1977-05-01,1977,5,0.001,86.401,-0.465116279069767,0,0,8,0,0
1977-06-01,1977,6,0,68.301,-1.09090909090909,-1.09090909090909,1,9,-1.09090909090909,-1.09090909090909
1977-07-01,1977,7,0,45.001,-0.727272727272727,0,0,10,0,0
1977-08-01,1977,8,0,35.201,0,0,0,11,0,0
1977-09-01,1977,9,0,12.701,-0.363636363636364,0,0,12,0,0
1977-10-01,1977,10,14.4,14.401,2.90909090909091,0,0,0,0,0
1977-11-01,1977,11,12.8,27.2,2.18181818181818,0,0,0,0,0
1977-12-01,1977,12,44.2,71.4,3.09090909090909,0,0,0,0,0
1978-01-01,1978,1,32.6,104,3.06976744186047,0,0,0,0,0
1978-02-01,1978,2,9.2,113.2,2.51162790697674,0,0,0,0,0
1978-03-01,1978,3,14,127.2,1.76744186046512,0,0,0,0,0
1978-04-01,1978,4,0.001,112.801,0.27906976744186,0,0,0,0,0
1978-05-01,1978,5,0.001,100.002,0.27906976744186,0,0,0,0,0
1978-06-01,1978,6,0.001,55.803,-2,-2,1,1,-2,-2
1978-07-01,1978,7,0,23.203,-2.72727272727273,-2.72727272727273,2,2,-4.72727272727273,-4.72727272727273
1978-08-01,1978,8,0,14.003,-2.72727272727273,-2.72727272727273,3,3,-7.45454545454546,-7.45454545454546
1978-09-01,1978,9,0,0.003,-4,-4,4,4,-11.4545454545455,-11.4545454545455
1978-10-01,1978,10,0,0.002,-3.63636363636364,-3.63636363636364,5,5,-15.0909090909091,-15.0909090909091
1978-11-01,1978,11,10.1,10.101,-0.181818181818182,0,0,6,0,0
1978-12-01,1978,12,44.2,54.3,2.18181818181818,0,0,0,0,0
1979-01-01,1979,1,38.5,92.8,2.88372093023256,0,0,0,0,0
1979-02-01,1979,2,11.1,103.9,2.13953488372093,0,0,0,0,0
1979-03-01,1979,3,14.5,118.4,1.58139534883721,0,0,0,0,0
1979-04-01,1979,4,0.001,118.401,0.837209302325581,0,0,0,0,0
1979-05-01,1979,5,2.4,110.701,1.2093023255814,0,0,0,0,0
1979-06-01,1979,6,0.001,66.502,-1.45454545454545,-1.45454545454545,1,1,-1.45454545454545,-1.45454545454545
1979-07-01,1979,7,0,28.002,-1.81818181818182,-1.81818181818182,2,2,-3.27272727272727,-3.27272727272727
1979-08-01,1979,8,0,16.902,-2.36363636363636,-2.36363636363636,3,3,-5.63636363636364,-5.63636363636364
1979-09-01,1979,9,0,2.402,-3.09090909090909,-3.09090909090909,4,4,-8.72727272727273,-8.72727272727273
1979-10-01,1979,10,0.001,2.402,-2,-2,5,5,-10.7272727272727,-10.7272727272727
1979-11-01,1979,11,3.4,3.402,-2.54545454545455,-2.54545454545455,6,6,-13.2727272727273,-13.2727272727273
1979-12-01,1979,12,8.3,11.701,-3.27272727272727,-3.27272727272727,7,7,-16.5454545454545,-16.5454545454545
1980-01-01,1980,1,13.6,25.301,-3.44186046511628,-3.44186046511628,8,8,-19.9873150105708,-19.9873150105708
1980-02-01,1980,2,44.5,69.801,-0.0930232558139537,0,0,9,0,-20.0803382663848
1980-03-01,1980,3,4.5,74.301,-1.2093023255814,-1.2093023255814,1,10,-1.2093023255814,-21.2896405919662
1980-04-01,1980,4,17.3,91.6,-0.837209302325582,0,0,11,0,-22.1268498942918
1980-05-01,1980,5,0.1,88.3,-0.279069767441861,0,0,12,0,-22.4059196617336
