"date","year_future","month","avrain","rain_projected"
1991-01-01,1991,1,164.264233576642,164.063824902848
1991-02-01,1991,2,28.9540145985401,28.9186895887047
1991-03-01,1991,3,37.0233576642336,36.9578265325344
1991-04-01,1991,4,81.7686131386861,81.6238831602479
1991-05-01,1991,5,52.5802919708029,52.4872251541956
1991-06-01,1991,6,118.802919708029,118.539335175591
1991-07-01,1991,7,75.7671532846716,75.5990509373403
1991-08-01,1991,8,60.1248175182482,59.9914203597235
1991-09-01,1991,9,74.2021897810219,73.9903123243797
1991-10-01,1991,10,42.8613138686131,42.7389273703491
1991-11-01,1991,11,50.4817518248175,50.3376058742054
1991-12-01,1991,12,34.4751824817518,34.4331214350496
1992-01-01,1992,1,62.3,62.1479832145377
1992-02-01,1992,2,16.4678832116788,16.4277003116915
1992-03-01,1992,3,39.2715328467153,39.1325120688402
1992-04-01,1992,4,49.756204379562,49.5800679841746
1992-05-01,1992,5,72.1970802919708,71.9415034520834
1992-06-01,1992,6,38.1613138686131,37.9919791065043
1992-07-01,1992,7,52.7985401459854,52.5642550197947
1992-08-01,1992,8,50.6992700729927,50.4743001239376
1992-09-01,1992,9,112.621167883212,111.978009327228
1992-10-01,1992,10,85.1226277372263,84.6365082326428
1992-11-01,1992,11,39.3109489051095,39.086451382953
1992-12-01,1992,12,49.7,49.578728182384
1993-01-01,1993,1,50.2321167883212,50.0482614531416
1993-02-01,1993,2,26.9817518248175,26.8829955043067
1993-03-01,1993,3,101.817518248175,101.276868970106
1993-04-01,1993,4,68.5094890510949,68.1457048375957
1993-05-01,1993,5,82.2036496350365,81.7671496633764
1993-06-01,1993,6,69.3423357664234,68.8807923835816
1993-07-01,1993,7,39.1036496350365,38.843375294195
1993-08-01,1993,8,43.2583941605839,42.970465792488
1993-09-01,1993,9,33.6087591240876,33.3208590597446
1993-10-01,1993,10,46.3204379562044,45.9236468393783
1993-11-01,1993,11,76.1671532846715,75.5146886027558
1993-12-01,1993,12,41.0051094890511,40.8550260637207
1994-01-01,1994,1,114.04598540146,113.489423472227
1994-02-01,1994,2,48.921897810219,48.6831514332102
1994-03-01,1994,3,148.122627737226,147.073922915374
1994-04-01,1994,4,95.3547445255474,94.6796351118272
1994-05-01,1994,5,30.2109489051095,29.9970560767585
1994-06-01,1994,6,59.6335766423358,59.1043476147823
1994-07-01,1994,7,54.3416058394161,53.8593413697436
