"sd_group","date","year","month","avrain"
"Central West",1891-01-01,1891,1,164.264233576642
"Central West",1891-02-01,1891,2,28.9540145985401
"Central West",1891-03-01,1891,3,37.0233576642336
"Central West",1891-04-01,1891,4,81.7686131386861
"Central West",1891-05-01,1891,5,52.5802919708029
"Central West",1891-06-01,1891,6,118.802919708029
"Central West",1891-07-01,1891,7,75.7671532846716
"Central West",1891-08-01,1891,8,60.1248175182482
"Central West",1891-09-01,1891,9,74.2021897810219
"Central West",1891-10-01,1891,10,42.8613138686131
"Central West",1891-11-01,1891,11,50.4817518248175
"Central West",1891-12-01,1891,12,34.4751824817518
"Central West",1892-01-01,1892,1,62.3
"Central West",1892-02-01,1892,2,16.4678832116788
"Central West",1892-03-01,1892,3,39.2715328467153
"Central West",1892-04-01,1892,4,49.756204379562
"Central West",1892-05-01,1892,5,72.1970802919708
"Central West",1892-06-01,1892,6,38.1613138686131
"Central West",1892-07-01,1892,7,52.7985401459854
"Central West",1892-08-01,1892,8,50.6992700729927
"Central West",1892-09-01,1892,9,112.621167883212
"Central West",1892-10-01,1892,10,85.1226277372263
"Central West",1892-11-01,1892,11,39.3109489051095
"Central West",1892-12-01,1892,12,49.7
"Central West",1893-01-01,1893,1,50.2321167883212
"Central West",1893-02-01,1893,2,26.9817518248175
"Central West",1893-03-01,1893,3,101.817518248175
"Central West",1893-04-01,1893,4,68.5094890510949
"Central West",1893-05-01,1893,5,82.2036496350365
"Central West",1893-06-01,1893,6,69.3423357664234
"Central West",1893-07-01,1893,7,39.1036496350365
"Central West",1893-08-01,1893,8,43.2583941605839
"Central West",1893-09-01,1893,9,33.6087591240876
"Central West",1893-10-01,1893,10,46.3204379562044
"Central West",1893-11-01,1893,11,76.1671532846715
"Central West",1893-12-01,1893,12,41.0051094890511
"Central West",1894-01-01,1894,1,114.04598540146
"Central West",1894-02-01,1894,2,48.921897810219
"Central West",1894-03-01,1894,3,148.122627737226
"Central West",1894-04-01,1894,4,95.3547445255474
"Central West",1894-05-01,1894,5,30.2109489051095
"Central West",1894-06-01,1894,6,59.6335766423358
"Central West",1894-07-01,1894,7,54.3416058394161
"Central West",1894-08-01,1894,8,47.5963503649635
"Central West",1894-09-01,1894,9,53.8897810218978
"Central West",1894-10-01,1894,10,62.5430656934307
"Central West",1894-11-01,1894,11,15.4138686131387
"Central West",1894-12-01,1894,12,64.429197080292
"Central West",1895-01-01,1895,1,109.22700729927
"Central West",1895-02-01,1895,2,35.263503649635
"Central West",1895-03-01,1895,3,6.60875912408759
"Central West",1895-04-01,1895,4,13.7547445255474
"Central West",1895-05-01,1895,5,25.9503649635037
"Central West",1895-06-01,1895,6,40.2861313868613
"Central West",1895-07-01,1895,7,23.1197080291971
"Central West",1895-08-01,1895,8,40.8875912408759
"Central West",1895-09-01,1895,9,42.5299270072993
"Central West",1895-10-01,1895,10,38.463503649635
"Central West",1895-11-01,1895,11,24.1883211678832
"Central West",1895-12-01,1895,12,59.1518248175182
"Central West",1896-01-01,1896,1,32.6313868613138
"Central West",1896-02-01,1896,2,138.020437956204
"Central West",1896-03-01,1896,3,39.6737226277372
"Central West",1896-04-01,1896,4,28.7912408759124
"Central West",1896-05-01,1896,5,62.6686131386861
"Central West",1896-06-01,1896,6,50.3131386861314
"Central West",1896-07-01,1896,7,12.8693430656934
"Central West",1896-08-01,1896,8,46.3357664233577
"Central West",1896-09-01,1896,9,20.0897810218978
"Central West",1896-10-01,1896,10,22.7248175182482
"Central West",1896-11-01,1896,11,67.5963503649635
"Central West",1896-12-01,1896,12,25.0153284671533
"Central West",1897-01-01,1897,1,68.8240875912409
"Central West",1897-02-01,1897,2,8.24890510948905
"Central West",1897-03-01,1897,3,8.0956204379562
"Central West",1897-04-01,1897,4,8.75255474452555
"Central West",1897-05-01,1897,5,32.2744525547445
"Central West",1897-06-01,1897,6,70.2240875912409
"Central West",1897-07-01,1897,7,77.670802919708
"Central West",1897-08-01,1897,8,50.6211678832117
"Central West",1897-09-01,1897,9,49.2379562043796
"Central West",1897-10-01,1897,10,31.3788321167883
"Central West",1897-11-01,1897,11,10.248905109489
"Central West",1897-12-01,1897,12,37.770802919708
"Central West",1898-01-01,1898,1,63.8007299270073
"Central West",1898-02-01,1898,2,62.0919708029197
"Central West",1898-03-01,1898,3,16.9715328467153
"Central West",1898-04-01,1898,4,2.05109489051095
"Central West",1898-05-01,1898,5,41.0890510948905
