"date","year","month","rain","sixmnthtot","index","indexBelowThreshold","count","count2","sums","sums2"
1900-06-01,1900,6,133.699996948242,619.599998474121,2.3859649122807,0,0,0,0,0
1900-07-01,1900,7,288.200012207031,814.60001373291,3.57894736842105,0,0,0,0,0
1900-08-01,1900,8,23.2999992370605,794.000011444092,3.64912280701754,0,0,0,0,0
1900-09-01,1900,9,35.9000015258789,731.200016021728,3.57894736842105,0,0,0,0,0
1900-10-01,1900,10,13.1999998092651,658.100012779236,3.78947368421053,0,0,0,0,0
1900-11-01,1900,11,165,659.300009727477,3.71929824561404,0,0,0,0,0
1900-12-01,1900,12,39.0999984741211,564.700011253357,3.29824561403509,0,0,0,0,0
1901-01-01,1901,1,104.199996948242,380.699995994568,-0.176991150442478,0,0,0,0,0
1901-02-01,1901,2,43.2000007629395,400.599997520447,-0.530973451327434,0,0,0,0,0
1901-03-01,1901,3,82.4000015258789,447.099997520447,-0.31858407079646,0,0,0,0,0
1901-04-01,1901,4,73.0999984741211,506.999996185303,0.530973451327434,0,0,0,0,0
1901-05-01,1901,5,19.8999996185303,361.899995803833,-2.01769911504425,-2.01769911504425,1,1,-2.01769911504425,-2.01769911504425
1901-06-01,1901,6,17.6000003814697,340.399997711182,-2.17543859649123,-2.17543859649123,2,2,-4.19313771153548,-4.19313771153548
1901-07-01,1901,7,18.8999996185303,255.10000038147,-3.29824561403509,-3.29824561403509,3,3,-7.49138332557056,-7.49138332557056
1901-08-01,1901,8,118.599998474121,330.499998092651,-0.982456140350877,0,0,0,0,0
1901-09-01,1901,9,49.2000007629395,297.299997329712,-0.631578947368421,0,0,0,0,0
1901-10-01,1901,10,42.5999984741211,266.799997329712,-1.33333333333333,-1.33333333333333,1,1,-1.33333333333333,-1.33333333333333
1901-11-01,1901,11,44.0999984741211,290.999996185303,-1.26315789473684,-1.26315789473684,2,2,-2.59649122807018,-2.59649122807018
1901-12-01,1901,12,12.1000003814697,285.499996185303,-1.26315789473684,-1.26315789473684,3,3,-3.85964912280702,-3.85964912280702
1902-01-01,1902,1,28.2000007629395,294.799997329712,-1.66371681415929,-1.66371681415929,4,4,-5.52336593696631,-5.52336593696631
1902-02-01,1902,2,2.20000004768372,178.399998903275,-3.78761061946903,-3.78761061946903,5,5,-9.31097655643534,-9.31097655643534
1902-03-01,1902,3,22.7999992370605,151.999997377396,-4,-4,6,6,-13.3109765564353,-13.3109765564353
1902-04-01,1902,4,26.2999992370605,135.699998140335,-4,-4,7,7,-17.3109765564353,-17.3109765564353
1902-05-01,1902,5,5,96.5999996662139,-4,-4,8,8,-21.3109765564353,-21.3109765564353
1902-06-01,1902,6,7.19999980926514,91.6999990940094,-4,-4,9,9,-25.3109765564353,-25.3109765564353
1902-07-01,1902,7,23.7999992370605,87.2999975681304,-4,-4,10,10,-29.3109765564353,-29.3109765564353
