"year","month","rain","sum","count","duration_bom_stn","severity_bom_stn","duration_bom_stn_declared","severity_bom_stn_declared","duration_awap","severity_awap","duration_awap_declared","severity_awap_declared","duration_emast","severity_emast","duration_emast_declared","severity_emast_declared","rain_bom_stn","rain_awap","rain_emast"
1890,6,199.5,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,181,NA,NA
1890,7,155.1,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,152.2,NA,NA
1890,8,14.9,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA
1890,9,57.2,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,56.7,NA,NA
1890,10,46.5,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,48.7,NA,NA
1890,11,66.1,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,66.6,NA,NA
1890,12,38.2,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA
1891,1,145.4,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,177.6,NA,NA
1891,2,58.9,-1.05982905982906,1,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,43.9,NA,NA
1891,3,116.9,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,85.8,NA,NA
1891,4,83.1,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,62.9,NA,NA
1891,5,35,-1.26495726495726,1,1,-1.26984126984127,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20.9,NA,NA
1891,6,380.1,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,373.1,NA,NA
1891,7,59,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,34.9,NA,NA
1891,8,69.7,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,73.9,NA,NA
1891,9,110.8,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,104.5,NA,NA
1891,10,56.3,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,50.5,NA,NA
1891,11,97.3,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,90.9,NA,NA
1891,12,45,NA,0,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA
