"year","month","rain_bom_stn","rain_awap","rain_emast"
1887,6,103.4,NA,NA
1887,7,41,NA,NA
1887,8,133.2,NA,NA
1887,9,21.5,NA,NA
1887,10,28.3,NA,NA
1887,11,111.6,NA,NA
1887,12,173.3,NA,NA
1888,1,14.5,NA,NA
1888,2,61.8,NA,NA
1888,3,33,NA,NA
1888,4,3.4,NA,NA
1888,5,18.5,NA,NA
1888,6,8.9,NA,NA
1888,7,26.7,NA,NA
1888,8,4.7,NA,NA
1888,9,40.7,NA,NA
1888,10,36.9,NA,NA
1888,11,18.9,NA,NA
1888,12,226.6,NA,NA
1889,1,42.5,NA,NA
1889,2,55.5,NA,NA
1889,3,15.3,NA,NA
1889,4,58.2,NA,NA
1889,5,556,NA,NA
1889,6,17.2,NA,NA
1889,7,98.5,NA,NA
1889,8,52.5,NA,NA
1889,9,58.7,NA,NA
1889,10,24.6,NA,NA
1889,11,71.5,NA,NA
1889,12,34.2,NA,NA
1890,1,84.3,NA,NA
1890,2,251.2,NA,NA
1890,3,380.7,NA,NA
1890,4,41.8,NA,NA
1890,5,77.8,NA,NA
1890,6,181,NA,NA
1890,7,152.2,NA,NA
1890,8,9.4,NA,NA
1890,9,56.7,NA,NA
1890,10,48.7,NA,NA
1890,11,66.6,NA,NA
1890,12,28,NA,NA
1891,1,177.6,NA,NA
1891,2,43.9,NA,NA
1891,3,85.8,NA,NA
1891,4,62.9,NA,NA
1891,5,20.9,NA,NA
1891,6,373.1,NA,NA
1891,7,34.9,NA,NA
1891,8,73.9,NA,NA
1891,9,104.5,NA,NA
1891,10,50.5,NA,NA
1891,11,90.9,NA,NA
1891,12,59,NA,NA
1892,1,119.9,NA,NA
1892,2,115.1,NA,NA
1892,3,331.4,NA,NA
1892,4,89.3,NA,NA
1892,5,22.9,NA,NA
1892,6,22.2,NA,NA
1892,7,53.1,NA,NA
1892,8,79.7,NA,NA
1892,9,186.3,NA,NA
1892,10,92,NA,NA
1892,11,60.1,NA,NA
1892,12,119.7,NA,NA
1893,1,134.1,NA,NA
1893,2,73.1,NA,NA
1893,3,198.9,NA,NA
1893,4,124.5,NA,NA
1893,5,25.2,NA,NA
1893,6,110.1,NA,NA
1893,7,73.9,NA,NA
1893,8,22.2,NA,NA
1893,9,15.9,NA,NA
1893,10,59.8,NA,NA
1893,11,100.3,NA,NA
1893,12,50.6,NA,NA
1894,1,42.3,NA,NA
1894,2,43.8,NA,NA
1894,3,339.8,NA,NA
1894,4,46.8,NA,NA
1894,5,6.6,NA,NA
1894,6,22.9,NA,NA
1894,7,10.5,NA,NA
1894,8,15,NA,NA
1894,9,80.3,NA,NA
1894,10,74.3,NA,NA
1894,11,29,NA,NA
1894,12,63.7,NA,NA
1895,1,224.4,NA,NA
1895,2,73.1,NA,NA
1895,3,22.6,NA,NA
1895,4,44.8,NA,NA
1895,5,21.6,NA,NA
1895,6,5.1,NA,NA
1895,7,6.3,NA,NA
1895,8,17.5,NA,NA
1895,9,111.5,NA,NA
1895,10,16.3,NA,NA
1895,11,44.9,NA,NA
1895,12,46.4,NA,NA
1896,1,36.6,NA,NA
1896,2,119.7,NA,NA
1896,3,77.4,NA,NA
1896,4,5.3,NA,NA
1896,5,41.4,NA,NA
1896,6,190.3,NA,NA
1896,7,9.5,NA,NA
1896,8,14,NA,NA
1896,9,10.4,NA,NA
1896,10,36.7,NA,NA
1896,11,103.7,NA,NA
1896,12,37.7,NA,NA
1897,1,43.4,NA,NA
1897,2,7.9,NA,NA
1897,3,34,NA,NA
1897,4,95.8,NA,NA
1897,5,71,NA,NA
1897,6,167,NA,NA
1897,7,113.9,NA,NA
1897,8,43.8,NA,NA
1897,9,22.2,NA,NA
1897,10,39.7,NA,NA
1897,11,12,NA,NA
1897,12,107.6,NA,NA
1898,1,117.7,NA,NA
1898,2,158,NA,NA
1898,3,21.4,NA,NA
1898,4,5.5,NA,NA
1898,5,166.6,NA,NA
1898,6,122.6,NA,NA
1898,7,49.7,NA,NA
1898,8,95.6,NA,NA
1898,9,42.1,NA,NA
1898,10,73.8,NA,NA
1898,11,9.1,NA,NA
1898,12,58.8,NA,NA
1899,1,50.3,NA,NA
1899,2,3.9,NA,NA
1899,3,20.7,NA,NA
1899,4,120.2,NA,NA
1899,5,41.7,NA,NA
1899,6,89.4,NA,NA
1899,7,83.5,NA,NA
1899,8,259.4,NA,NA
1899,9,40.1,NA,NA
1899,10,44.4,NA,NA
1899,11,77.8,NA,NA
1899,12,18.5,NA,NA
1900,1,125.3,NA,NA
1900,2,21.3,NA,NA
1900,3,78.3,NA,NA
1900,4,89.1,NA,NA
1900,5,193.1,NA,NA
1900,6,112.5,133.699996948242,NA
1900,7,315.9,288.200012207031,NA
1900,8,20.4,23.2999992370605,NA
1900,9,42.5,35.9000015258789,NA
1900,10,12.5,13.1999998092651,NA
1900,11,176.7,165,NA
1900,12,31,39.0999984741211,NA
1901,1,64,104.199996948242,NA
1901,2,37.4,43.2000007629395,NA
1901,3,82.8,82.4000015258789,NA
1901,4,70.2,73.0999984741211,NA
1901,5,30.3,19.8999996185303,NA
1901,6,15.8,17.6000003814697,NA
1901,7,21,18.8999996185303,NA
1901,8,110.7,118.599998474121,NA
1901,9,50.9,49.2000007629395,NA
1901,10,43.1,42.5999984741211,NA
1901,11,44.6,44.0999984741211,NA
1901,12,6.8,12.1000003814697,NA
1902,1,37.6,28.2000007629395,NA
1902,2,2.8,2.20000004768372,NA
1902,3,18.7,22.7999992370605,NA
1902,4,26.6,26.2999992370605,NA
1902,5,13.4,5,NA
1902,6,5,7.19999980926514,NA
1902,7,32.9,23.7999992370605,NA
1902,8,31.3,49.9000015258789,NA
1902,9,63.9,58.9000015258789,NA
1902,10,113.5,108.699996948242,NA
1902,11,46.8,57.9000015258789,NA
1902,12,77.2,109.800003051758,NA
1903,1,68,50.0999984741211,NA
1903,2,3.1,11.1999998092651,NA
1903,3,72.4,61.2000007629395,NA
1903,4,34.7,51.5999984741211,NA
1903,5,55.7,48.5,NA
1903,6,29,27,NA
1903,7,92.9,81.8000030517578,NA
1903,8,58.3,70.8000030517578,NA
1903,9,101.7,111.900001525879,NA
1903,10,66.7,77.5999984741211,NA
1903,11,25.9,31.6000003814697,NA
1903,12,111.7,118.199996948242,NA
1904,1,29.7,31.2999992370605,NA
1904,2,95.6,99,NA
1904,3,46.9,70.9000015258789,NA
1904,4,250.4,264.399993896484,NA
1904,5,35.4,26.5,NA
1904,6,2.5,2.20000004768372,NA
1904,7,323.7,302.100006103516,NA
1904,8,50.1,53.7000007629395,NA
1904,9,19.3,16.1000003814697,NA
1904,10,47.8,40.7999992370605,NA
1904,11,17,15.8000001907349,NA
1904,12,15.5,25.1000003814697,NA
1905,1,38,33.7000007629395,NA
1905,2,31.8,30.5,NA
1905,3,98.7,84.8000030517578,NA
1905,4,81.5,88.0999984741211,NA
1905,5,94.6,60.7000007629395,NA
1905,6,28.9,27.5,NA
1905,7,3.5,4.90000009536743,NA
1905,8,6.3,7.09999990463257,NA
1905,9,33.3,36.4000015258789,NA
1905,10,47.7,41.4000015258789,NA
1905,11,14.2,24.2999992370605,NA
1905,12,127,113.5,NA
1906,1,65,61.0999984741211,NA
1906,2,15.5,18.6000003814697,NA
1906,3,149.1,134.5,NA
1906,4,13.9,6.59999990463257,NA
1906,5,62.5,43.5999984741211,NA
1906,6,21,20.3999996185303,NA
1906,7,4.3,2.79999995231628,NA
1906,8,111.7,126.099998474121,NA
1906,9,24.4,21.3999996185303,NA
1906,10,52.8,46,NA
1906,11,79.6,76.3000030517578,NA
1906,12,35.3,34.4000015258789,NA
1907,1,41.4,42.2999992370605,NA
1907,2,85.2,85.5999984741211,NA
1907,3,131.4,130.5,NA
1907,4,25.3,30.8999996185303,NA
1907,5,19,17.6000003814697,NA
1907,6,85.6,88.5999984741211,NA
1907,7,2.5,1.39999997615814,NA
1907,8,5.6,8.69999980926514,NA
1907,9,5.4,4.80000019073486,NA
1907,10,7,6.90000009536743,NA
1907,11,42.2,38.7999992370605,NA
1907,12,38.8,43.7000007629395,NA
1908,1,45.5,33.7000007629395,NA
1908,2,292.5,286.5,NA
1908,3,25.3,36.7000007629395,NA
1908,4,28.1,35.5999984741211,NA
1908,5,15.7,16,NA
1908,6,1,2.20000004768372,NA
1908,7,115.7,97.1999969482422,NA
1908,8,140.7,183.100006103516,NA
1908,9,25.2,23.6000003814697,NA
1908,10,26.8,22.3999996185303,NA
1908,11,21.5,27,NA
1908,12,24.6,27.8999996185303,NA
1909,1,20.2,31.2999992370605,NA
1909,2,120.5,163,NA
1909,3,7.6,8.19999980926514,NA
1909,4,12.2,10.3000001907349,NA
1909,5,15.8,11.6000003814697,NA
1909,6,75.7,73.6999969482422,NA
1909,7,18,14,NA
1909,8,17.2,21.6000003814697,NA
1909,9,40.9,43.9000015258789,NA
1909,10,38.4,35.7000007629395,NA
1909,11,52.5,52.5999984741211,NA
1909,12,144.3,137.699996948242,NA
1910,1,127.9,127.699996948242,NA
1910,2,24.5,26,NA
1910,3,119.2,115.800003051758,NA
1910,4,28.7,30.8999996185303,NA
1910,5,12.4,11,NA
1910,6,50.5,49.5,NA
1910,7,195,172.100006103516,NA
1910,8,8.4,8.69999980926514,NA
1910,9,43.8,48.7000007629395,NA
1910,10,52.1,52.9000015258789,NA
1910,11,19.1,26.2999992370605,NA
1910,12,248.9,235.399993896484,NA
1911,1,294.8,293.700012207031,NA
1911,2,151.9,149.600006103516,NA
1911,3,54.5,72.5999984741211,NA
1911,4,38.1,43.0999984741211,NA
1911,5,25.1,17.6000003814697,NA
1911,6,2.8,2.79999995231628,NA
1911,7,82.1,82.5,NA
1911,8,115,127.800003051758,NA
1911,9,48.8,55.0999984741211,NA
1911,10,30.8,28.7999992370605,NA
1911,11,36.4,51.2999992370605,NA
1911,12,55.1,78.1999969482422,NA
1912,1,25.7,25.7999992370605,NA
1912,2,101.7,134,NA
1912,3,113.2,84.8000030517578,NA
1912,4,85.6,89.0999984741211,NA
1912,5,74.1,60.7000007629395,NA
1912,6,52.3,53.9000015258789,NA
1912,7,218.9,206.300003051758,NA
1912,8,56.7,71.5999984741211,NA
1912,9,8.4,9.10000038146973,NA
1912,10,32.3,28.2000007629395,NA
1912,11,37.4,45.4000015258789,NA
1912,12,58,51.2000007629395,NA
1913,1,21.6,14.8999996185303,NA
1913,2,12.8,17.1000003814697,NA
1913,3,106.2,153.300003051758,NA
1913,4,131.9,169.699996948242,NA
1913,5,349.6,265.799987792969,NA
1913,6,239.1,219.600006103516,NA
1913,7,125.9,99.3000030517578,NA
1913,8,0,1.20000004768372,NA
1913,9,44.9,38.5,NA
1913,10,41.7,33.4000015258789,NA
1913,11,23.6,29.6000003814697,NA
1913,12,26.8,16.7000007629395,NA
1914,1,36.3,26.6000003814697,NA
1914,2,26.7,41.7000007629395,NA
1914,3,349.4,293.5,NA
1914,4,46.3,49.7000007629395,NA
1914,5,54.4,45.2000007629395,NA
1914,6,75.9,79.1999969482422,NA
1914,7,105.4,92.3000030517578,NA
1914,8,11.4,20,NA
1914,9,109.8,106.5,NA
1914,10,124.9,132.899993896484,NA
1914,11,65,89.4000015258789,NA
1914,12,161.6,175.800003051758,NA
1915,1,5.8,10.1999998092651,NA
1915,2,12,31.2999992370605,NA
1915,3,121.7,107.599998474121,NA
1915,4,134.9,114.400001525879,NA
1915,5,73.2,65.0999984741211,NA
1915,6,9.2,11,NA
1915,7,34.6,31.5,NA
1915,8,10.1,17.1000003814697,NA
1915,9,28.4,25.7000007629395,NA
1915,10,19.3,17.7999992370605,NA
1915,11,0.8,0.699999988079071,NA
1915,12,79.1,64.1999969482422,NA
1916,1,26.6,24.2999992370605,NA
1916,2,39.1,66.1999969482422,NA
1916,3,55.2,48.9000015258789,NA
1916,4,87.7,88.0999984741211,NA
1916,5,24.4,21,NA
1916,6,57,56.7000007629395,NA
1916,7,67.1,58.0999984741211,NA
1916,8,44.7,53.7000007629395,NA
1916,9,57.3,63.2000007629395,NA
1916,10,269,266.899993896484,NA
1916,11,90.7,77.5999984741211,NA
1916,12,106,126.5,NA
1917,1,111.7,95.5999984741211,NA
1917,2,84.1,94.5,NA
1917,3,7.7,12.1999998092651,NA
1917,4,131.4,139.699996948242,NA
1917,5,32.7,21.5,NA
1917,6,49.7,48.4000015258789,NA
1917,7,13.5,10.5,NA
1917,8,18.3,22.1000003814697,NA
1917,9,82.3,100.599998474121,NA
1917,10,62.9,58.0999984741211,NA
1917,11,237.6,215.699996948242,NA
1917,12,47.1,59.5,NA
1918,1,275.5,227.100006103516,NA
1918,2,49.1,69.1999969482422,NA
1918,3,10.4,15.5,NA
1918,4,76.8,75,NA
1918,5,4.6,3.90000009536743,NA
1918,6,22.1,12.6999998092651,NA
1918,7,115.8,105.599998474121,NA
1918,8,32.1,38.7000007629395,NA
1918,9,55.9,53,NA
1918,10,12.7,15.5,NA
1918,11,16.1,19.7000007629395,NA
1918,12,16.5,14,NA
1919,1,31.5,26.6000003814697,NA
1919,2,35.2,61,NA
1919,3,18.5,27.7000007629395,NA
1919,4,26.1,33.7999992370605,NA
1919,5,342.1,222.800003051758,NA
1919,6,13.7,11,NA
1919,7,12.9,18.2000007629395,NA
1919,8,7.1,13.6999998092651,NA
1919,9,44.5,44.4000015258789,NA
1919,10,24.6,29.8999996185303,NA
1919,11,69.7,78.1999969482422,NA
1919,12,81.3,102.300003051758,NA
1920,1,128.8,125.300003051758,NA
1920,2,38.4,38,NA
1920,3,37.4,44,NA
1920,4,48.3,44.0999984741211,NA
1920,5,3.3,2.20000004768372,NA
1920,6,51.8,56.7000007629395,NA
1920,7,106.5,99.3000030517578,NA
1920,8,30.9,36.5999984741211,NA
1920,9,28.7,25.7000007629395,NA
1920,10,22.4,32.7999992370605,NA
1920,11,49.6,61.7999992370605,NA
1920,12,338.1,387,NA
1921,1,109.1,101.800003051758,NA
1921,2,12.5,13.3999996185303,NA
1921,3,98,106,NA
1921,4,122,152.800003051758,NA
1921,5,153.7,114.199996948242,NA
1921,6,37.6,32.5,NA
1921,7,109.8,107,NA
1921,8,18.8,18.7000007629395,NA
1921,9,58.4,53,NA
1921,10,42.9,43.7000007629395,NA
1921,11,51.7,73.5999984741211,NA
1921,12,178.3,182.399993896484,NA
1922,1,131.8,124.5,NA
1922,2,96.8,101.199996948242,NA
